Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 31, TIDL_EltWiseLayer, 6, 600, 400, 3, 600, 400, 6,  COL, 0, 0, 40200, 240000, 18, 0, 18,,,,,,,,, L2, DMA, 40200, 40200, 2, 160896, 0, 0, ,,,,,,,, MSMC, CPU, 240064, 240000, 3, 723840, 0, 0, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 32, TIDL_EltWiseLayer, 6, 600, 400, 3, 600, 400, 6,  COL, 0, 0, 40200, 240000, 18, 0, 18,,,,,,,,, L2, DMA, 40200, 40200, 2, 160896, 0, 0, MSMC, CPU, 40256, 40200, 2, 80512, 0, b0b80, DDR, DMA, 281792, 240000, 3, 846464, 0, cea80, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 33, TIDL_EltWiseLayer, 6, 600, 400, 3, 600, 400, 6,  COL, 0, 0, 40200, 240000, 18, 0, 18,,,,,,,,, L2, DMA, 40200, 40200, 2, 160896, 0, 0, ,,,,,,,, MSMC, CPU, 240064, 240000, 3, 723840, 0, 0, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 34, TIDL_EltWiseLayer, 6, 600, 400, 3, 600, 400, 6,  COL, 0, 0, 40200, 240000, 18, 0, 18,,,,,,,,, L2, DMA, 40200, 40200, 2, 160896, 0, 0, MSMC, CPU, 40256, 40200, 2, 80512, 0, b0b80, DDR, DMA, 281792, 240000, 3, 846464, 0, 0, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 35, TIDL_ConvolutionLayer, 24, 600, 400, 3, 600, 400, 24, ROW_C, 0, 0, 4096, 240000, 59, 1, 59,,,,,,,,, L2, DMA, 8192, 8192, 24, 196736, 0, 0, ,,,,,,,, MSMC, CPU, 240064, 240000, 3, 720384, 0, 0, ,,,,,,,, MSMC, DMA_ONCE, 24, 24, 3, 128, 0, f1680, ,,,,,,,, 
 36, TIDL_EltWiseLayer, 6, 600, 400, 3, 600, 400, 6,  COL, 0, 0, 40200, 240000, 18, 0, 18,,,,,,,,, L2, DMA, 40200, 40200, 2, 160896, 0, 0, ,,,,,,,, MSMC, CPU, 240064, 240000, 3, 723840, 0, 0, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 37, TIDL_EltWiseLayer, 6, 600, 400, 3, 600, 400, 6,  COL, 0, 0, 40200, 240000, 18, 0, 18,,,,,,,,, L2, DMA, 40200, 40200, 2, 160896, 0, 0, MSMC, CPU, 40256, 40200, 2, 80512, 0, b0b80, DDR, DMA, 281792, 240000, 3, 846464, 0, 0, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 38, TIDL_EltWiseLayer, 6, 600, 400, 3, 600, 400, 6,  COL, 0, 0, 40200, 240000, 18, 0, 18,,,,,,,,, L2, DMA, 40200, 40200, 2, 160896, 0, 0, ,,,,,,,, MSMC, CPU, 240064, 240000, 3, 723840, 0, 0, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 39, TIDL_EltWiseLayer, 6, 600, 400, 3, 600, 400, 6,  COL, 0, 0, 40200, 240000, 18, 0, 18,,,,,,,,, L2, DMA, 40200, 40200, 2, 160896, 0, 0, MSMC, CPU, 40256, 40200, 2, 80512, 0, b0b80, DDR, DMA, 281792, 240000, 3, 846464, 0, cea80, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 40, TIDL_ConvolutionLayer, 24, 600, 400, 3, 600, 400, 24, ROW_C, 0, 0, 4096, 240000, 59, 1, 59,,,,,,,,, L2, DMA, 8192, 8192, 24, 196736, 0, 0, ,,,,,,,, MSMC, CPU, 240064, 240000, 3, 720384, 0, 0, ,,,,,,,, MSMC, DMA_ONCE, 24, 24, 3, 128, 0, f1700, ,,,,,,,, 
 41, TIDL_EltWiseLayer, 6, 600, 400, 3, 600, 400, 6,  COL, 0, 0, 40200, 240000, 18, 0, 18,,,,,,,,, L2, DMA, 40200, 40200, 2, 160896, 0, 0, ,,,,,,,, MSMC, CPU, 240064, 240000, 3, 723840, 0, 0, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 42, TIDL_EltWiseLayer, 6, 600, 400, 3, 600, 400, 6,  COL, 0, 0, 40200, 240000, 18, 0, 18,,,,,,,,, L2, DMA, 40200, 40200, 2, 160896, 0, 0, MSMC, CPU, 40256, 40200, 2, 80512, 0, b0b80, DDR, DMA, 281792, 240000, 3, 846464, 0, cea80, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 43, TIDL_EltWiseLayer, 6, 600, 400, 3, 600, 400, 6,  COL, 0, 0, 40200, 240000, 18, 0, 18,,,,,,,,, L2, DMA, 40200, 40200, 2, 160896, 0, 0, ,,,,,,,, MSMC, CPU, 240064, 240000, 3, 723840, 0, 0, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 44, TIDL_EltWiseLayer, 6, 600, 400, 3, 600, 400, 6,  COL, 0, 0, 40200, 240000, 18, 0, 18,,,,,,,,, L2, DMA, 40200, 40200, 2, 160896, 0, 0, MSMC, CPU, 40256, 40200, 2, 80512, 0, b0b80, DDR, DMA, 281792, 240000, 3, 846464, 0, 0, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 45, TIDL_ConvolutionLayer, 24, 600, 400, 3, 600, 400, 24, ROW_C, 0, 0, 4096, 240000, 59, 1, 59,,,,,,,,, L2, DMA, 8192, 8192, 24, 196736, 0, 0, ,,,,,,,, MSMC, CPU, 240064, 240000, 3, 720384, 0, 0, ,,,,,,,, MSMC, DMA_ONCE, 24, 24, 3, 128, 0, f1780, ,,,,,,,, 
 46, TIDL_EltWiseLayer, 6, 600, 400, 3, 600, 400, 6,  COL, 0, 0, 40200, 240000, 18, 0, 18,,,,,,,,, L2, DMA, 40200, 40200, 2, 160896, 0, 0, ,,,,,,,, MSMC, CPU, 240064, 240000, 3, 723840, 0, 0, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 47, TIDL_EltWiseLayer, 6, 600, 400, 3, 600, 400, 6,  COL, 0, 0, 40200, 240000, 18, 0, 18,,,,,,,,, L2, DMA, 40200, 40200, 2, 160896, 0, 0, MSMC, CPU, 40256, 40200, 2, 80512, 0, b0b80, DDR, DMA, 281792, 240000, 3, 846464, 0, 0, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 48, TIDL_EltWiseLayer, 6, 600, 400, 3, 600, 400, 6,  COL, 0, 0, 40200, 240000, 18, 0, 18,,,,,,,,, L2, DMA, 40200, 40200, 2, 160896, 0, 0, ,,,,,,,, MSMC, CPU, 240064, 240000, 3, 723840, 0, 0, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 49, TIDL_EltWiseLayer, 6, 600, 400, 3, 600, 400, 6,  COL, 0, 0, 40200, 240000, 18, 0, 18,,,,,,,,, L2, DMA, 40200, 40200, 2, 160896, 0, 0, MSMC, CPU, 40256, 40200, 2, 80512, 0, b0b80, DDR, DMA, 281792, 240000, 3, 846464, 0, cea80, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 50, TIDL_ConvolutionLayer, 24, 600, 400, 3, 600, 400, 24, ROW_C, 0, 0, 4096, 240000, 59, 1, 59,,,,,,,,, L2, DMA, 8192, 8192, 24, 196736, 0, 0, ,,,,,,,, MSMC, CPU, 240064, 240000, 3, 720384, 0, 0, ,,,,,,,, MSMC, DMA_ONCE, 24, 24, 3, 128, 0, f1800, ,,,,,,,, 
 51, TIDL_EltWiseLayer, 6, 600, 400, 3, 600, 400, 6,  COL, 0, 0, 40200, 240000, 18, 0, 18,,,,,,,,, L2, DMA, 40200, 40200, 2, 160896, 0, 0, ,,,,,,,, MSMC, CPU, 240064, 240000, 3, 723840, 0, 0, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 52, TIDL_EltWiseLayer, 6, 600, 400, 3, 600, 400, 6,  COL, 0, 0, 40200, 240000, 18, 0, 18,,,,,,,,, L2, DMA, 40200, 40200, 2, 160896, 0, 0, ,,,,,,,, MSMC, CPU, 240064, 240000, 3, 723840, 0, 0, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 53, TIDL_DataConvertLayer, 3, 600, 400, 400, 3, 600, 3,  COL, 0, 0, 10200, 240000, 24, 0, 24,,,,,,,,, L2, DMA, 61200, 61200, 1, 61312, 0, 0, MSMC, CPU, 7200, 7200, 34, 244864, 0, b0b80, DDR, DMA, 7200, 7200, 400, 2938624, 0, 0, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 54, TIDL_DataLayer, 3, 600, 400, 0, 0, 0, 3, FRAME, 0, 0, 240000, 240000, 1, 0, 1,,,,,,,,, MSMC, DMA, 0, 240000, 2, 0, 0, 0, ,,,,,,,, DDR, CPU, 7200, 0, 0, 2881024, 0, 0, ,,,,,,,, MSMC, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
