Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 21, TIDL_EltWiseLayer, 6, 600, 400, 3, 600, 400, 6,  COL, 0, 0, 40200, 240000, 18, 0, 18,,,,,,,,, L2, DMA, 40200, 40200, 2, 160896, 0, 0, ,,,,,,,, MSMC, CPU, 240064, 240000, 3, 723840, 0, 0, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 22, TIDL_EltWiseLayer, 6, 600, 400, 3, 600, 400, 6,  COL, 0, 0, 40200, 240000, 18, 0, 18,,,,,,,,, L2, DMA, 40200, 40200, 2, 160896, 0, 0, MSMC, CPU, 40256, 40200, 2, 80512, 0, b0b80, DDR, DMA, 281792, 240000, 3, 846464, 0, 17eb00, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 23, TIDL_EltWiseLayer, 6, 600, 400, 3, 600, 400, 6,  COL, 0, 0, 40200, 240000, 18, 0, 18,,,,,,,,, L2, DMA, 40200, 40200, 2, 160896, 0, 0, ,,,,,,,, MSMC, CPU, 240064, 240000, 3, 723840, 0, 0, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 24, TIDL_EltWiseLayer, 6, 600, 400, 3, 600, 400, 6,  COL, 0, 0, 40200, 240000, 18, 0, 18,,,,,,,,, L2, DMA, 40200, 40200, 2, 160896, 0, 0, MSMC, CPU, 40256, 40200, 2, 80512, 0, b0b80, DDR, DMA, 281792, 240000, 3, 846464, 0, 0, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 25, TIDL_ConvolutionLayer, 24, 600, 400, 3, 600, 400, 24, ROW_C, 0, 0, 4096, 240000, 59, 1, 59,,,,,,,,, L2, DMA, 8192, 8192, 24, 196736, 0, 0, ,,,,,,,, MSMC, CPU, 240064, 240000, 3, 720384, 0, 0, ,,,,,,,, MSMC, DMA_ONCE, 24, 24, 3, 128, 0, f1580, ,,,,,,,, 
 26, TIDL_EltWiseLayer, 6, 600, 400, 3, 600, 400, 6,  COL, 0, 0, 40200, 240000, 18, 0, 18,,,,,,,,, L2, DMA, 40200, 40200, 2, 160896, 0, 0, ,,,,,,,, MSMC, CPU, 240064, 240000, 3, 723840, 0, 0, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 27, TIDL_EltWiseLayer, 6, 600, 400, 3, 600, 400, 6,  COL, 0, 0, 40200, 240000, 18, 0, 18,,,,,,,,, L2, DMA, 40200, 40200, 2, 160896, 0, 0, MSMC, CPU, 40256, 40200, 2, 80512, 0, b0b80, DDR, DMA, 281792, 240000, 3, 846464, 0, 0, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 28, TIDL_EltWiseLayer, 6, 600, 400, 3, 600, 400, 6,  COL, 0, 0, 40200, 240000, 18, 0, 18,,,,,,,,, L2, DMA, 40200, 40200, 2, 160896, 0, 0, ,,,,,,,, MSMC, CPU, 240064, 240000, 3, 723840, 0, 0, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 29, TIDL_EltWiseLayer, 6, 600, 400, 3, 600, 400, 6,  COL, 0, 0, 40200, 240000, 18, 0, 18,,,,,,,,, L2, DMA, 40200, 40200, 2, 160896, 0, 0, MSMC, CPU, 40256, 40200, 2, 80512, 0, b0b80, DDR, DMA, 281792, 240000, 3, 846464, 0, cea80, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 30, TIDL_ConvolutionLayer, 24, 600, 400, 3, 600, 400, 24, ROW_C, 0, 0, 4096, 240000, 59, 1, 59,,,,,,,,, L2, DMA, 8192, 8192, 24, 196736, 0, 0, ,,,,,,,, MSMC, CPU, 240064, 240000, 3, 720384, 0, 0, ,,,,,,,, MSMC, DMA_ONCE, 24, 24, 3, 128, 0, f1600, ,,,,,,,, 
